"Group","Type","CurrentGameVersion","ID","Loader","CurrentVersion","Name","Description","Category","Jar","NextVersion","NextVersionUrl","NextGameVersion","LatestVersion","LatestVersionUrl","LatestGameVersion","Url","CurrentVersionUrl","UrlDirect","CurrentDependencies","CurrentDependenciesRequired","CurrentDependenciesOptional","LatestDependencies","LatestDependenciesRequired","LatestDependenciesOptional","Host","ApiSource","ClientSide","ServerSide","Title","ProjectDescription","IconUrl","IssuesUrl","SourceUrl","WikiUrl","AvailableGameVersions","RecordHash"
"required","mod","1.21.8","fabric-api","fabric","0.136.0+1.21.8","Fabric API","Lightweight and modular API providing common hooks and intercompatibility measures","Core & Utility","fabric-api-0.136.0+1.21.8.jar","0.134.0+1.21.9","https://cdn.modrinth.com/data/P7dR8mSH/versions/iHrvVvaM/fabric-api-0.134.0%2B1.21.9.jar","1.21.9","0.136.3+1.21.11","https://cdn.modrinth.com/data/P7dR8mSH/versions/2glHKLYN/fabric-api-0.136.3%2B1.21.11.jar","25w44a","https://modrinth.com/mod/fabric-api","https://cdn.modrinth.com/data/P7dR8mSH/versions/RMahJx2I/fabric-api-0.136.0%2B1.21.8.jar","","","","","","","","modrinth","modrinth","optional","optional","Fabric API","Lightweight and modular API providing common hooks and intercompatibility measures utilized by mods using the Fabric toolchain.","https://cdn.modrinth.com/data/P7dR8mSH/icon.png","https://github.com/FabricMC/fabric/issues","https://github.com/FabricMC/fabric","https://fabricmc.net/wiki/","1.14,1.14-pre1,1.14-pre3,1.14.1,1.14.1-pre2,1.14.2,1.14.2-pre2,1.14.2-pre4,1.14.3,1.14.4,1.14.4-pre5,1.15,1.15-pre1,1.15-pre2,1.15-pre3,1.15-pre4,1.15-pre5,1.15-pre6,1.15-pre7,1.15.1,1.15.2,1.15.2-pre1,1.15.2-pre2,1.16,1.16-pre1,1.16-pre2,1.16-pre3,1.16-pre4,1.16-pre5,1.16-pre6,1.16-pre7,1.16-pre8,1.16-rc1,1.16.1,1.16.2,1.16.2-pre1,1.16.2-pre2,1.16.2-pre3,1.16.2-rc1,1.16.3,1.16.4,1.16.5,1.17,1.17-pre1,1.17-rc1,1.17.1,1.17.1-rc2,1.18,1.18-pre1,1.18-pre2,1.18-pre3,1.18-pre4,1.18-pre5,1.18-pre6,1.18-pre7,1.18-rc1,1.18-rc2,1.18-rc3,1.18-rc4,1.18.1,1.18.2,1.18.2-pre1,1.18.2-pre2,1.18.2-pre3,1.18.2-rc1,1.19,1.19-pre1,1.19-pre2,1.19-pre4,1.19-rc1,1.19.1,1.19.1-pre2,1.19.1-pre4,1.19.1-pre6,1.19.1-rc2,1.19.1-rc3,1.19.2,1.19.3,1.19.3-pre1,1.19.3-pre2,1.19.3-pre3,1.19.4,1.19.4-pre1,1.19.4-pre2,1.19.4-pre3,1.20,1.20-pre1,1.20-pre2,1.20-pre3,1.20-pre5,1.20-pre6,1.20-pre7,1.20.1,1.20.2,1.20.2-pre1,1.20.2-pre2,1.20.2-pre4,1.20.2-rc1,1.20.3,1.20.3-pre1,1.20.3-pre2,1.20.4,1.20.5,1.20.5-pre1,1.20.5-pre2,1.20.5-pre3,1.20.5-pre4,1.20.5-rc2,1.20.6,1.20.6-rc1,1.21,1.21-pre1,1.21-pre3,1.21-pre4,1.21.1,1.21.1-rc1,1.21.10,1.21.2,1.21.2-pre1,1.21.2-pre3,1.21.2-pre4,1.21.3,1.21.4,1.21.4-pre1,1.21.4-pre2,1.21.4-pre3,1.21.4-rc3,1.21.5,1.21.5-pre1,1.21.5-pre2,1.21.5-pre3,1.21.5-rc1,1.21.5-rc2,1.21.6,1.21.6-pre1,1.21.6-pre3,1.21.7,1.21.7-rc1,1.21.8,1.21.9,1.21.9-pre1,1.21.9-pre2,1.21.9-pre3,1.21.9-rc1,18w49a,18w50a,19w02a,19w03a,19w03c,19w04a,19w04b,19w05a,19w06a,19w07a,19w08a,19w08b,19w11a,19w11b,19w12a,19w12b,19w13a,19w13b,19w14a,19w14b,19w34a,19w35a,19w36a,19w37a,19w38b,19w39a,19w40a,19w41a,19w42a,19w44a,19w45a,19w45b,19w46a,19w46b,20w06a,20w07a,20w08a,20w09a,20w10a,20w11a,20w12a,20w13a,20w13b,20w14a,20w14infinite,20w15a,20w16a,20w17a,20w18a,20w19a,20w20a,20w20b,20w21a,20w22a,20w27a,20w28a,20w29a,20w30a,20w45a,20w46a,20w48a,20w49a,20w51a,21w03a,21w05a,21w05b,21w06a,21w07a,21w08a,21w10a,21w11a,21w13a,21w14a,21w15a,21w16a,21w17a,21w18a,21w19a,21w20a,21w37a,21w38a,21w39a,21w40a,21w41a,21w42a,21w43a,21w44a,22w03a,22w06a,22w07a,22w11a,22w12a,22w13a,22w13oneblockatatime,22w14a,22w15a,22w16b,22w17a,22w18a,22w19a,22w42a,22w43a,22w44a,22w45a,22w46a,23w03a,23w04a,23w05a,23w06a,23w07a,23w12a,23w13a,23w13a_or_b,23w14a,23w16a,23w17a,23w18a,23w31a,23w32a,23w33a,23w35a,23w40a,23w41a,23w42a,23w43a,23w43b,23w44a,23w45a,23w46a,23w51b,24w03b,24w04a,24w05a,24w06a,24w07a,24w09a,24w10a,24w11a,24w12a,24w13a,24w14a,24w14potato,24w18a,24w19b,24w20a,24w21b,24w33a,24w34a,24w35a,24w36a,24w37a,24w38a,24w39a,24w40a,24w44a,24w45a,24w46a,25w02a,25w03a,25w04a,25w05a,25w06a,25w07a,25w08a,25w09a,25w09b,25w10a,25w14craftmine,25w15a,25w16a,25w17a,25w18a,25w19a,25w20a,25w21a,25w31a,25w32a,25w33a,25w34b,25w35a,25w36b,25w37a,25w41a","5b9f8fa3ad96970c0d7fa19aa9d4b4cc50cd41ca7d75eb31db537979a5e1f56e"
"required","mod","1.21.8","cloth-config","fabric","19.0.147+fabric","Cloth Config","Configuration library used by many mods","Core & Utility","cloth-config-19.0.147-fabric.jar","20.0.149+fabric","https://cdn.modrinth.com/data/9s6osm5g/versions/qMxkrrmq/cloth-config-20.0.149-fabric.jar","1.21.9","20.0.149+fabric","https://cdn.modrinth.com/data/9s6osm5g/versions/qMxkrrmq/cloth-config-20.0.149-fabric.jar","1.21.9","https://modrinth.com/mod/cloth-config","https://cdn.modrinth.com/data/9s6osm5g/versions/cz0b1j8R/cloth-config-19.0.147-fabric.jar","","","","","","","","modrinth","modrinth","optional","optional","Cloth Config API","Configuration Library for Minecraft Mods","https://cdn.modrinth.com/data/9s6osm5g/ed8a2316cbb6f4fc5f510e8e13a59a85cbbbff4d_96.webp","https://github.com/shedaniel/ClothConfig/issues","https://github.com/shedaniel/ClothConfig/","https://shedaniel.gitbook.io/cloth-config/","1.14,1.14.1,1.14.2,1.14.3,1.14.4,1.15,1.15.1,1.15.2,1.16,1.16.1,1.16.2,1.16.3,1.16.4,1.16.5,1.17,1.17.1,1.18,1.18.1,1.18.2,1.19,1.19.1,1.19.2,1.19.3,1.19.3-pre2,1.19.4,1.19.4-pre1,1.20,1.20-pre6,1.20.1,1.20.2,1.20.3,1.20.4,1.20.5,1.20.6,1.21,1.21.1,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9,22w43a,23w13a_or_b,23w31a,24w09a,24w14a,24w14potato,24w36a","525612ee3ea75359d91aad4b435009ea023032e5dbb46d7b721d8161562175ac"
"required","mod","1.21.8","forge-config-api-port","fabric","v21.8.1-1.21.8-Fabric","Forge Config API Port","Compatibility layer for config mods","Core & Utility","ForgeConfigAPIPort-v21.8.1-1.21.8-Fabric.jar","21.9.8","https://cdn.modrinth.com/data/ohNO6lps/versions/3Zr2vML8/ForgeConfigAPIPort-v21.9.8%2Bmc1.21.9-Fabric.jar","1.21.9","21.10.0","https://cdn.modrinth.com/data/ohNO6lps/versions/6T4w46C9/ForgeConfigAPIPort-v21.10.0%2Bmc1.21.10-Fabric.jar","1.21.10","https://modrinth.com/mod/forge-config-api-port","https://cdn.modrinth.com/data/ohNO6lps/versions/daREdLQt/ForgeConfigAPIPort-v21.8.1-1.21.8-Fabric.jar","","required: P7dR8mSH","","","required: P7dR8mSH; optional: 5WeWGLoJ","","","modrinth","modrinth","optional","optional","Forge Config API Port","NeoForge's & Forge's config systems provided to other modding ecosystems. Designed for a multiloader architecture.","https://cdn.modrinth.com/data/ohNO6lps/cb3b942cc18a66a0f35f802e004713f134e46cc2_96.webp","https://github.com/Fuzss/forgeconfigapiport/issues","https://github.com/Fuzss/forgeconfigapiport","https://github.com/Fuzss/forgeconfigapiport/wiki","1.16,1.16.1,1.16.2,1.16.3,1.16.4,1.16.5,1.17,1.17.1,1.18,1.18.1,1.18.2,1.19,1.19.1,1.19.2,1.19.3,1.19.4,1.20,1.20.1,1.20.2,1.20.4,1.20.6,1.21,1.21.1,1.21.10,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9","04d41ccd829af8add8197e2b58896333a399bce46780fca58eac956ba1a7b0cc"
"required","mod","1.21.8","craterlib","fabric","1.21.6-2.1.5","CraterLib","Library mod required by some UI mods","Core & Utility","CraterLib-Fabric-1.21.6-2.1.5.jar","1.21.9-2.1.5","https://cdn.modrinth.com/data/Nn8Wasaq/versions/8vFjssBM/CraterLib-Fabric-1.21.9-2.1.5.jar","1.21.9","1.21.9-2.1.5","https://cdn.modrinth.com/data/Nn8Wasaq/versions/8vFjssBM/CraterLib-Fabric-1.21.9-2.1.5.jar","1.21.9","https://modrinth.com/mod/craterlib","https://cdn.modrinth.com/data/Nn8Wasaq/versions/o3hiSSue/CraterLib-Fabric-1.21.6-2.1.5.jar","","required: P7dR8mSH; optional: 9s6osm5g,mOgUt4GM","","","required: P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH,P7dR8mSH; optional: 9s6osm5g,mOgUt4GM,mOgUt4GM,9s6osm5g,mOgUt4GM,9s6osm5g,mOgUt4GM,9s6osm5g,9s6osm5g,mOgUt4GM,mOgUt4GM,9s6osm5g,mOgUt4GM,9s6osm5g,mOgUt4GM,9s6osm5g,9s6osm5g,mOgUt4GM,mOgUt4GM,9s6osm5g","","","modrinth","modrinth","optional","optional","CraterLib","Library mod for HypherionSA and First Dark Development mods","https://cdn.modrinth.com/data/Nn8Wasaq/67adb90c42e20705a98813bef7bf9779984f4cf5_96.webp","https://github.com/firstdarkdev/CraterLib-mirror/issues","https://github.com/firstdarkdev/CraterLib-mirror","","1.18.2,1.19.2,1.19.3,1.19.4,1.20,1.20.1,1.20.2,1.20.4,1.21,1.21.1,1.21.10,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9","13ee39fc1fc07b143bee7fbbca4c4fb72cdeae2fd284918f12d4db50becf5e92"
"required","mod","1.21.8","balm","fabric","21.8.10+fabric-1.21.8","Balm","Shared codebase for performance and utility mods","Core & Utility","balm-fabric-1.21.8-21.8.10.jar","21.9.4+fabric-1.21.9","https://cdn.modrinth.com/data/MBAkmtvl/versions/7TxO9j9o/balm-fabric-1.21.9-21.9.4.jar","1.21.9","21.10.6+fabric-1.21.10","https://cdn.modrinth.com/data/MBAkmtvl/versions/FrHkeMAL/balm-fabric-1.21.10-21.10.6.jar","1.21.10","https://modrinth.com/mod/balm","https://cdn.modrinth.com/data/MBAkmtvl/versions/6STx1UB9/balm-fabric-1.21.8-21.8.10.jar","","required: P7dR8mSH","","","required: P7dR8mSH","","","modrinth","modrinth","optional","optional","Balm","Abstraction Layer for Multiplatform Mods","https://cdn.modrinth.com/data/MBAkmtvl/285b7bcfd6e525c043e640b08f3efc0cde90f7dd_96.webp","https://github.com/TwelveIterationMods/Balm/issues","https://github.com/TwelveIterationMods/Balm","https://balm.twelveiterations.com/","1.18,1.18.1,1.18.2,1.19,1.19.1,1.19.2,1.19.3,1.19.4,1.20,1.20.1,1.20.2,1.20.4,1.20.6,1.21,1.21.1,1.21.10,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9","6c87b24ea0c9c94d73ffede940bc27da80319bb046d4b906a3904b43a18c0f73"
"required","mod","1.21.8","fabric-language-kotlin","fabric","1.13.7+kotlin.2.2.21","Fabric Language Kotlin","Enables Kotlin-based mods","Core & Utility","fabric-language-kotlin-1.13.7+kotlin.2.2.21.jar","1.13.7+kotlin.2.2.21","https://cdn.modrinth.com/data/Ha28R6CL/versions/LcgnDDmT/fabric-language-kotlin-1.13.7%2Bkotlin.2.2.21.jar","1.21.9","1.13.7+kotlin.2.2.21","https://cdn.modrinth.com/data/Ha28R6CL/versions/LcgnDDmT/fabric-language-kotlin-1.13.7%2Bkotlin.2.2.21.jar","1.14","https://modrinth.com/mod/fabric-language-kotlin","https://cdn.modrinth.com/data/Ha28R6CL/versions/LcgnDDmT/fabric-language-kotlin-1.13.7%2Bkotlin.2.2.21.jar","","","","","","","","modrinth","modrinth","optional","optional","Fabric Language Kotlin","This is a mod that enables usage of the Kotlin programming language for Fabric mods.","https://cdn.modrinth.com/data/Ha28R6CL/72c3d74aeb665e45aea93a945a01474cbce3b7da_96.webp","https://github.com/FabricMC/fabric-language-kotlin/issues","https://github.com/FabricMC/fabric-language-kotlin/","https://fabricmc.net/wiki/","1.14,1.14-pre1,1.14-pre2,1.14-pre3,1.14-pre4,1.14-pre5,1.14.1,1.14.1-pre1,1.14.1-pre2,1.14.2,1.14.2-pre1,1.14.2-pre2,1.14.2-pre3,1.14.2-pre4,1.14.3,1.14.3-pre1,1.14.3-pre2,1.14.3-pre3,1.14.3-pre4,1.14.4,1.14.4-pre1,1.14.4-pre2,1.14.4-pre3,1.14.4-pre4,1.14.4-pre5,1.14.4-pre6,1.14.4-pre7,1.15,1.15-pre1,1.15-pre2,1.15-pre3,1.15-pre4,1.15-pre5,1.15-pre6,1.15-pre7,1.15.1,1.15.1-pre1,1.15.2,1.15.2-pre1,1.15.2-pre2,1.16,1.16-pre1,1.16-pre2,1.16-pre3,1.16-pre4,1.16-pre5,1.16-pre6,1.16-pre7,1.16-pre8,1.16-rc1,1.16.1,1.16.2,1.16.2-pre1,1.16.2-pre2,1.16.2-pre3,1.16.2-rc1,1.16.2-rc2,1.16.3,1.16.3-rc1,1.16.4,1.16.4-pre1,1.16.4-pre2,1.16.4-rc1,1.16.5,1.16.5-rc1,1.17,1.17-pre1,1.17-pre2,1.17-pre3,1.17-pre4,1.17-pre5,1.17-rc1,1.17-rc2,1.17.1,1.17.1-pre1,1.17.1-pre2,1.17.1-pre3,1.17.1-rc1,1.17.1-rc2,1.18,1.18-pre1,1.18-pre2,1.18-pre3,1.18-pre4,1.18-pre5,1.18-pre6,1.18-pre7,1.18-pre8,1.18-rc1,1.18-rc2,1.18-rc3,1.18-rc4,1.18.1,1.18.1-pre1,1.18.1-rc1,1.18.1-rc2,1.18.1-rc3,1.18.2,1.18.2-pre1,1.18.2-pre2,1.18.2-pre3,1.18.2-rc1,1.19,1.19.1,1.19.2,1.19.3,1.19.4,1.20,1.20.1,1.20.2,1.20.3,1.20.4,1.20.5,1.20.6,1.21,1.21.1,1.21.10,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9,18w44a,18w45a,18w46a,18w47a,18w47b,18w48a,18w48b,18w49a,18w50a,19w02a,19w03a,19w03b,19w03c,19w04a,19w04b,19w05a,19w06a,19w07a,19w08a,19w08b,19w09a,19w11a,19w11b,19w12a,19w12b,19w13a,19w13b,19w14a,19w14b,19w34a,19w35a,19w36a,19w37a,19w38a,19w38b,19w39a,19w40a,19w41a,19w42a,19w44a,19w45a,19w45b,19w46a,19w46b,20w06a,20w07a,20w08a,20w09a,20w10a,20w11a,20w12a,20w13a,20w13b,20w14a,20w14infinite,20w15a,20w16a,20w17a,20w18a,20w19a,20w20a,20w20b,20w21a,20w22a,20w27a,20w28a,20w29a,20w30a,20w45a,20w46a,20w48a,20w49a,20w51a,21w03a,21w05a,21w05b,21w06a,21w07a,21w08a,21w08b,21w10a,21w11a,21w13a,21w14a,21w15a,21w16a,21w17a,21w18a,21w19a,21w20a,21w37a,21w38a,21w39a,21w40a,21w41a,21w42a,21w43a,21w44a,22w03a,22w05a,22w06a,22w07a,22w11a,22w12a,22w13a,22w13oneblockatatime,3D-Shareware-v1.34","5bffcdf17d23d0c31d5c3f466bb7ce025f6c02068507beed558e839eadb8b5b9"
"required","mod","1.21.8","collective","fabric","1.21.8-8.11-fabric+forge+neo","Collective","Shared code library for various mods","Core & Utility","collective-1.21.8-8.11.jar","1.21.9-8.9-fabric+forge+neo","https://cdn.modrinth.com/data/e0M1UDsY/versions/eJb8QANu/collective-1.21.9-8.9.jar","1.21.9","1.21.10-8.13-fabric+forge+neo","https://cdn.modrinth.com/data/e0M1UDsY/versions/A0CFMmGr/collective-1.21.10-8.13.jar","1.21.10","https://modrinth.com/mod/collective","https://cdn.modrinth.com/data/e0M1UDsY/versions/8tJ3qV5y/collective-1.21.8-8.11.jar","","","","","","","","modrinth","modrinth","optional","optional","Collective","🎓 Collective is a shared library with common code for all of Serilum's mods.","https://cdn.modrinth.com/data/e0M1UDsY/f5e4fe9ac298e2c14591920d6bda937c566accd0_96.webp","https://github.com/Serilum/.issue-tracker/labels/Library: Collective","https://github.com/Serilum/Collective","","1.16.5,1.18.2,1.19.2,1.19.3,1.19.4,1.20,1.20.1,1.20.2,1.20.3,1.20.4,1.20.5,1.20.6,1.21,1.21.1,1.21.10,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9","5b29c1751e3ceadf96984f5239fe122082082d689e9c3b71a9165a6b415fbbc0"
"required","mod","1.21.8","architectury-api","fabric","17.0.8+fabric","Architectury API","Intermediary API for multiplatform mods","Core & Utility","architectury-17.0.8-fabric.jar","18.0.5+fabric","https://cdn.modrinth.com/data/lhGA9TYQ/versions/qkIZZKUH/architectury-18.0.5-fabric.jar","1.21.9","18.0.6+fabric","https://cdn.modrinth.com/data/lhGA9TYQ/versions/8Ing3Dbx/architectury-18.0.6-fabric.jar","1.21.10","https://modrinth.com/mod/architectury-api","https://cdn.modrinth.com/data/lhGA9TYQ/versions/XcJm5LH4/architectury-17.0.8-fabric.jar","","required: P7dR8mSH","","","required: P7dR8mSH","","","modrinth","modrinth","required","required","Architectury API","An intermediary api aimed to ease developing multiplatform mods.","https://cdn.modrinth.com/data/lhGA9TYQ/05fe3a61c28faaccaec3533b92e1b321edde7bf6_96.webp","https://github.com/architectury/architectury/issues","https://github.com/architectury/architectury","","1.16.5,1.17.1,1.18,1.18.1,1.18.2,1.19,1.19-pre1,1.19.1,1.19.2,1.19.3,1.19.3-pre2,1.19.4,1.19.4-pre3,1.20,1.20-pre1,1.20-pre5,1.20.1,1.20.2,1.20.2-pre1,1.20.2-pre2,1.20.2-pre4,1.20.3-pre1,1.20.4,1.20.5,1.20.5-pre1,1.20.6,1.21,1.21.1,1.21.2,1.21.3,1.21.4,1.21.5,1.21.5-pre2,1.21.5-rc1,1.21.6,1.21.7,1.21.8,1.21.9,22w42a,22w43a,22w44a,23w03a,23w13a,23w13a_or_b,23w18a,23w31a,23w32a,23w33a,23w35a,23w40a,23w41a,24w09a,24w12a,24w14a,24w14potato,24w40a","dc67efb0ed0751a2708eaacf038456af06aa6f8fc306398563f28bd44d605e91"
"required","mod","1.21.8","jamlib","fabric","1.3.5+1.21.8","JamLib","Platform-agnostic library for JamCore mods","Core & Utility","jamlib-fabric-1.3.5+1.21.8.jar","1.3.5+1.21.10","https://cdn.modrinth.com/data/IYY9Siz8/versions/C0PstXFz/jamlib-fabric-1.3.5%2B1.21.10.jar","1.21.9","1.3.5+1.21.10","https://cdn.modrinth.com/data/IYY9Siz8/versions/C0PstXFz/jamlib-fabric-1.3.5%2B1.21.10.jar","1.21.9","https://modrinth.com/mod/jamlib","https://cdn.modrinth.com/data/IYY9Siz8/versions/4kGByLs3/jamlib-fabric-1.3.5%2B1.21.8.jar","","required: lhGA9TYQ,P7dR8mSH","","","required: lhGA9TYQ,P7dR8mSH,lhGA9TYQ","","","modrinth","modrinth","required","required","JamLib","The platform-agnostic, Architectury based library used in all of JamCoreModding's mods","https://cdn.modrinth.com/data/IYY9Siz8/7585f4d35b18467c2d0d9c496e3b7cd4919c413a_96.webp","https://github.com/JamCoreModding/jam-lib/issues","https://github.com/JamCoreModding/jam-lib","","1.18,1.18.1,1.18.2,1.19,1.19.1,1.19.2,1.19.3,1.19.4,1.20,1.20-rc1,1.20.1,1.20.2,1.20.4,1.20.6,1.21,1.21.1,1.21.2,1.21.3,1.21.4,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9,23w03a","2062e4e2883166c1e905fb81bae2af317109e22341ce55934568c6eb8e32d89f"
"required","mod","1.21.8","libipn","fabric","fabric-1.21.6-6.6.0","libIPN","Inventory Profiles Next GUI Library","Core & Utility","libIPN-fabric-1.21.6-6.6.0.jar","fabric-1.21.9-6.6.0","https://cdn.modrinth.com/data/onSQdWhM/versions/ATLsm4F4/libIPN-fabric-1.21.9-6.6.0.jar","1.21.9","fabric-1.21.6-6.6.0","https://cdn.modrinth.com/data/onSQdWhM/versions/V5FdwBb3/libIPN-fabric-1.21.6-6.6.0.jar","1.21.6","https://modrinth.com/mod/libipn","https://cdn.modrinth.com/data/onSQdWhM/versions/V5FdwBb3/libIPN-fabric-1.21.6-6.6.0.jar","","required: Ha28R6CL,P7dR8mSH","","","required: Ha28R6CL,P7dR8mSH,Ha28R6CL,P7dR8mSH,P7dR8mSH,Ha28R6CL,P7dR8mSH,Ha28R6CL","","","modrinth","modrinth","required","unsupported","libIPN","Inventory Profiles Next GUI/Config library","https://cdn.modrinth.com/data/onSQdWhM/feb2d62d9f150539bfd2a69d373866b1e643545c_96.webp","","https://github.com/blackd/libIPN","","1.14.1,1.14.2,1.14.3,1.14.4,1.15,1.15.1,1.15.2,1.16,1.16.1,1.16.2,1.16.3,1.16.4,1.16.5,1.17,1.17.1,1.18,1.18.1,1.18.2,1.19,1.19.1,1.19.2,1.19.3,1.19.3-pre3,1.19.3-rc1,1.19.3-rc2,1.19.3-rc3,1.19.4,1.20,1.20-pre1,1.20-pre2,1.20.1,1.20.2,1.20.3,1.20.3-pre2,1.20.4,1.20.6,1.21,1.21.1,1.21.10,1.21.3,1.21.4,1.21.4-pre1,1.21.5,1.21.6,1.21.7,1.21.8,1.21.9,23w06a,24w44a,24w45a,24w46a,25w04a,25w05a,25w06a","c7209bea6d1a4bdbec76a297f004ba15762907805138cdc3c91864d2c8b896c3"
